202006796H,UNLISTED COLLECTION PTE. LTD.
202007293Z,UOL DEVELOPMENT (NO. 1) PTE. LTD.
202008295W,UNIVERSE READERS PTE. LTD.
202008348C,UNITRACO PTE. LTD.
202008704E,URBAN NINJA CULINARY PTE. LTD.
202008913R,UNIVERSAL PAY PTE. LTD.
202009027W,URSULINE INVESTMENTS PTE. LIMITED
202009826D,UNITED HOPE PTE. LTD.
202009924R,USEEPAY PTE. LTD.
202010201G,URBAN NINJA CULINARY ASIA PTE. LTD.
202010708R,UHP INVESTMENTS PTE. LTD.
202011189W,UKHTA CAPITAL PTE. LTD.
202011509N,ULYSSES PRIME PTE. LTD.
202012114K,UPPER HAND PTE. LTD.
202012642Z,ULTRA ASIA INVESTMENT PTE. LTD.
202013139G,ULTRALAZ PTE. LTD.
202014082R,UDAAN PTE. LTD.
202014830G,UPUPEX PTE. LTD.
202016101K,URBAN PROFESSIONAL PTE. LTD.
202016451W,SPVI HOLDING PTE. LTD.
202016474R,SAMANYA CAPITAL PTE. LTD.
202016576M,SOCIALV HOLDING PTE. LTD.
202016629R,SHIJIAZHUANG LINGSHOU 2 DEVELOPMENT HOLDING PTE. LTD.
202016662K,SHIJIAZHUANG LINGSHOU 2 DEVELOPMENT PTE. LTD.
202016831K,UPSTATS HOLDING PTE. LTD.
202016855Z,SILVERLAKE CAPITAL MARKET SOLUTION PTE. LTD.
202016903H,SEA FUND I HOLDINGS PTE. LTD.
202016956E,SUNRISE TECHNOLOGY INVESTMENT HOLDING PTE. LTD.
202016989R,SANXIN TIMES HOLDINGS SG CO. PTE. LTD.
202017012R,USFI G-OE FUNDS I PRIVATE LIMITED
202017014W,USFI G-OE FUNDS II PRIVATE LIMITED
202017037R,SINGAPORE INTERCONTINENTAL STAR INDUSTRIAL INVESTMENT PTE. LTD.
202017180W,SBEN HOLDINGS PTE. LTD.
202017343H,SUBSTANCE CAPITAL PTE. LTD.
202017356N,STOREPAY HOLDING PTE. LTD.
202017413E,SOFOS INFRASTRUCTURE HOLDINGS PTE. LTD.
202017432Z,URANUS INVESTMENTS PTE. LTD.
202017444N,SUN GLOBAL ASSURANCE PTE. LTD.
202017463H,SABIS INVESTMENTS ASIA PTE. LTD.
202017593C,SLT HOLDINGS PTE. LTD.
202017737W,SEABRIDGE INVESTMENTS PTE. LTD.
202017749M,UNITED GREENTECH HOLDINGS PTE. LTD.
202017749M,UNITED GREENTECH PTE. LTD.
202017827Z,SCHNIX GLOBAL PTE. LTD.
202017903E,USFI SUPERSONICS PRIVATE LIMITED
202018004C,SAYY PAYMENTS PTE. LTD.
202018127N,SILVERLAKE GLOBAL STRUCTURED SERVICES PTE. LTD.
202018156C,SILVERLAKE INVESTMENT (SG) PTE. LTD.
202018218G,SAVERN MORTGAGE PTE. LTD.
202018220M,SILVER WAVE HEALTH INVESTMENTS PTE. LTD.
202018231R,SERENE HOLDINGS PTE. LTD.
202018232G,SERENE ASSET MANAGEMENT PTE. LTD.
202018234H,SSW BUSINESS SERVICES PTE. LTD.
202018450Z,SK FOO HOLDINGS PTE. LTD.
202018465G,UNIQUE SIX INVESTMENT PTE. LTD.
202018682H,SERVICE ONE GLOBAL PTE. LTD.
202018687D,UE PARK AVENUE (CHINA) PTE. LTD.
202018722G,SOUTHEAST FORTUNE PTE. LTD.
202019030M,SDVIC INTERNATIONAL PTE. LTD.
202019085K,SETARA NETWORKS WORLDWIDE PTE. LTD.
