Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description,Description,Website,Industry
2020-01-01,202000015R,JULIAN GREY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","https://www.julian-grey.com","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-01,202000015R,JULIAN GREY VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","https://www.julian-grey.com","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-01,202000017W,PRECIOUS (GLOBAL) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-01,202000018H,ALLIED STAR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)","","INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)"
2020-01-01,202000024W,LAUNCH I/O PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"VENTURE CAPITAL ACTIVITIES","","VENTURE CAPITAL ACTIVITIES"
2020-01-01,202000051D,EMINENT MANAGEMENT CONSULTANTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-01,202000061R,SEMITECH HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVEST SEMICONDUTOR AND MICROELECTRONIC R&D","","OTHER HOLDING COMPANIES"
2020-01-01,202000083D,DAISYFIELDS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-04-24,202000088W,8X CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HEDGE FUND MANAGEMENT","","HEDGE FUND MANAGEMENT"
2020-01-01,202000090D,AAA GLOBAL CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"VENTURE CAPITAL ACTIVITIES","","VENTURE CAPITAL ACTIVITIES"
2020-01-01,202000104G,ION COMMERCIAL AGENCY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"GENERAL INSURANCE (EXCEPT MARINE AND IMPORT, EXPORT & CREDIT INSURANCE)-","","GENERAL INSURANCE (EXCEPT MARINE AND IMPORT, EXPORT & CREDIT INSURANCE)-"
2020-01-01,202000106H,MMTT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-01,202000109C,LAUNCHPAD APAC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PROVIDING ALL CORPORATE FINANCE RELATED SERVICES","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-01,202000123C,PACE360 GLOBAL INVESTMENTS CORPORATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-01,202000135R,INFINEX GREEN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"ACTIVITIES AUXILIARY TO FUND MANAGEMENT ACTIVITIES (EG INDEPENDENT FUND ADMINISTRATION FIRMS)","","ACTIVITIES AUXILIARY TO FUND MANAGEMENT ACTIVITIES (EG INDEPENDENT FUND ADMINISTRATION FIRMS)"
2020-01-01,202000136G,SINCERUS CAPITALS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-01,202000137W,ARDYL VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)","","SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)"
2020-12-02,202000138H,SOPA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MUSIC, DANCING, ART, SPEECH AND DRAMA INSTRUCTION","","MUSIC, DANCING, ART, SPEECH AND DRAMA INSTRUCTION"
2020-01-01,202000139Z,SUM ZERO GLOBAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-02,202000166E,TERRACOTTA CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-02,202000169W,JC ADVENTURE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-02,202000188M,GRASSCHILD INVEST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000189D,DYMON ASIA MAYAPADA PRIVATE EQUITY (INDONESIA) FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-02,202000198E,EQUIS GEOENERGY (TAIWAN) HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000206D,J3 INVESTMENT HOLDING COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-02,202000221N,KITE BOOKKEEPING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"BOOKKEEPING","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-02,202000224G,PINPOINT ASSET MANAGEMENT (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HEDGE FUND MANAGEMENT","","HEDGE FUND MANAGEMENT"
2020-01-02,202000232W,STORHUB 50 YISHUN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PROPERTY INVESTMENT","","OTHER HOLDING COMPANIES"
2020-01-02,202000233H,ALLIANZ REAL ESTATE ASIA PACIFIC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"REAL ESTATE INVESTMENT MANAGEMENT","","PROPERTY FUND MANAGEMENT (INCLUDING REIT MANAGEMENT AND DIRECT PROPERTY FUND MANAGEMENT)"
2020-01-02,202000243C,LOTTE INVESTMENT PARTNERS SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000245D,IRISH PRODUCTS CO. HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000252D,AZYGOS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","http://azygos.com","OTHER HOLDING COMPANIES"
2020-01-02,202000253N,ACE INTERNATIONAL MARINE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MARINE TRANSPORTATION","","CHARTERING OF SHIPS, BARGES AND BOATS WITH CREW (FREIGHT)"
2020-01-02,202000253N,BWO OFFSHORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MARINE TRANSPORTATION","","CHARTERING OF SHIPS, BARGES AND BOATS WITH CREW (FREIGHT)"
2020-01-02,202000257W,SOUTHEAST ASIA CLEAN ENERGY FACILITY MASTER FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000258H,AMTEL F&B INVESTMENTS PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000268C,EMERGENT VN LOGISTICS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000280Z,WONG FAMILY HOME PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000285N,EMERGENT VN LOGISTICS PROPERTIES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000288G,JMEK PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-02,202000292N,INVESTIBLE-VULPES GENERAL PARTNERSHIP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
