Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-01-09,53408118E,ST HOMES,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-13,53408219W,AGNES OH ORGANISATION,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-13,53408244X,ONE SG HOLDING,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-14,53408260B,CARMINE MOON,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-16,53408386B,1ST LG MONEY CHANGER,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-17,53408448J,SP-ELITE & ASSOCIATES,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-17,53408458C,WIND WONG SINLA,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-21,53408552X,PRESTIGE INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-22,53408590C,JEFFREY LOH INVESTMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-25,53408678X,88 TRADING ALLIANCE,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-27,53408701M,GOBUSINESS,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-29,53408765E,FE SCRAP TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-30,53408813M,LEGACY INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-02,53408914C,ARIEFIN,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-04,53408992E,BMP INSURANCE,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-04,53408992E,BMP INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-05,53409041M,BURST MYANMAR HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-05,53409042K,JPG,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-05,53409070B,TKT GROUP,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-06,53409101J,WINSTAR CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-06,53409130W,BEYOND MEDICAL GROUP,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-06,53409133D,LENGKONG PARAS,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-09,53409252K,THE.GOOD.SPACE.COMPANY,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-10,53409256W,SHOPHOUSE CONSERVATION,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-10,53409260L,M.S. MONEY EXCHANGE,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-10,53409261J,VAV CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-12,53409376X,CHEN MINGKUN,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-13,53409397C,EZBUYSELL,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-14,53409457X,LIBERTY MUTUAL REINSURANCE,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-20,53409671M,BEDROCK CG,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-24,53409795B,EDU-GROUP HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-25,53409829X,IA INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-26,53409915K,A GREEN LEAF TRADING,FINANCIAL AND INSURANCE ACTIVITIES
