Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-01-01,53407676M,GRAVITY FILM,INFORMATION AND COMMUNICATIONS
2020-01-01,53407679C,SMARTMOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-01,53407682C,INNOVIC TECHNOLOGY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-01,53407694K,SUPREM9 SOLUTIONS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-01,53407706D,THE LOVERS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-01,53407721L,STARKITE,INFORMATION AND COMMUNICATIONS
2020-01-01,53407723D,INDENT PICTURES,INFORMATION AND COMMUNICATIONS
2020-01-01,53407727K,APPRICHORD PRODUCTIONS,INFORMATION AND COMMUNICATIONS
2020-01-01,53407729C,EVENT KAKI,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-01,53407733A,UNCLE B,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407738B,TWELVE CONSULT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407745E,RAYCINE PICTURES,INFORMATION AND COMMUNICATIONS
2020-01-02,53407746C,MAISYARAH RAHMAD,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407748W,PLAN & AUGMENT DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407752L,CAFF PLATFORM HOLDINGS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407763C,RNS PROFESSIONAL SERVICE & TRAINING,INFORMATION AND COMMUNICATIONS
2020-01-02,53407765W,SYKJ CONSULTING,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407766L,TABSTAR MANAGEMENT SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407768D,ROSETTA STONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407769B,IZ YOUR STYLE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-02,53407790X,0S & 1S,INFORMATION AND COMMUNICATIONS
2020-01-02,53407800A,WYTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407808K,STUDIO NAO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407813C,TENET ASSURANCE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407814A,MAKCIKALERTSG,INFORMATION AND COMMUNICATIONS
2020-01-03,53407820J,RENTC,INFORMATION AND COMMUNICATIONS
2020-01-03,53407821D,COTERIE SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407825K,SENTIMENTOGRAPHY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407826E,BLOOMINGTREE,INFORMATION AND COMMUNICATIONS
2020-01-03,53407831A,OTSUKA TECHNOLOGY,INFORMATION AND COMMUNICATIONS
2020-01-03,53407834J,MP ESSENTIALS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407835D,DE @SPACE DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407839K,SINGAPORE INSTITUTE OF FOOD AND BIOTECHNOLOGY INNOVATION,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407850L,RAJENBROTHERS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407857E,JW CONSULTANCY SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-03,53407862A,MATCHGENICS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407875C,IBBIS INNOVATION,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407879J,BLU ENGINEERING,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407881L,RAYGUN DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407885X,PROSE ARCHITECTS,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407888E,H LOFT STUDIO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-04,53407889C,H7 GAMING,INFORMATION AND COMMUNICATIONS
2020-01-04,53407913W,HAPPY BEAR DESIGN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407914L,APEX FINANCIAL ADVISORY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407917B,QUANTUM GROUPS,INFORMATION AND COMMUNICATIONS
2020-01-05,53407918X,I BLACK SERVICES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407919M,BYBEN STUDIO SINGAPORE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407921X,MECHFIX AUTOMATION,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407922M,HANA DUL SET PHOTOBOOTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407925C,GSI PHOTOGRAPHY AND VIDEOGRAPHY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-05,53407927W,SEBJAC ENTERPRISES,INFORMATION AND COMMUNICATIONS
2020-01-06,53407933D,PET TECH,INFORMATION AND COMMUNICATIONS
2020-01-06,53407951B,BANG PHOTOGRAPHY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-06,53407958W,VBK BUSINESS CONSULTANCY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53407984M,HUNTINGMAMA,INFORMATION AND COMMUNICATIONS
2020-01-07,53407987C,SINGAPORE ACCOUNTING FIRM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53407988A,S.G. CHIN & ASSOCIATES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53407989W,OCEANMAD CONSULTANCY,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53407990C,ASCERTAIN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53407999K,LOVE YOUR NEIGHBOUR,INFORMATION AND COMMUNICATIONS
2020-01-07,53408005K,MOYO CONSULTING,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53408006E,ASIA MARKET EDGE,INFORMATION AND COMMUNICATIONS
2020-01-07,53408007C,INIRAUZANYANGBIKIN,INFORMATION AND COMMUNICATIONS
2020-01-07,53408009W,SUNDERED SPHERE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53408010C,ANGEL REAL ESTATE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-01-07,53408011A,VELDAREALESTATE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
